編號,案類,發生(現)日期,發生時段,地點,icon
1,住宅竊盜,1040101,07~09,台北市中山區新生北路一段91-120號,ylw_stars
2,住宅竊盜,1040101,10~12,台北市文山區明興里興隆路四段1-30號,ylw_stars
3,住宅竊盜,1040101,22~24,台北市信義區富台里忠孝東路五段295巷6弄1-30號,ylw_stars
4,住宅竊盜,1040101,22~24,台北市文山區萬美里萬寧街1-30號,ylw_stars
5,住宅竊盜,1040102,04~06,台北市萬華區大理街159巷1-30號,ylw_stars
6,住宅竊盜,1040102,04~06,台北市萬華區大理街159巷1-30號,ylw_stars
7,住宅竊盜,1040102,10~12,台北市中山區吉林路121-150號,ylw_stars
8,住宅竊盜,1040102,22~24,台北市士林區天福里1鄰忠誠路二段130巷1-30號,ylw_stars
9,住宅竊盜,1040104,10~12,台北市信義區五常里永吉路225巷32弄1-30號,ylw_stars
10,住宅竊盜,1040105,04~06,台北市萬華區糖?里大理街159巷1-30號,ylw_stars
11,住宅竊盜,1040105,10~12,台北市北投區吉慶里實踐街56巷1-30號,ylw_stars
12,住宅竊盜,1040105,16~18,台北市中正區忠勤里中華路二段311巷1-30號,ylw_stars
13,住宅竊盜,1040105,22~24,台北市中山區南京東路三段181-210號,ylw_stars
14,住宅竊盜,1040106,04~06,台北市信義區雅祥里基隆路一段1-30號,ylw_stars
15,住宅竊盜,1040106,16~18,台北市中正區水源里汀州路三段91-120號,ylw_stars
16,住宅竊盜,1040108,07~09,台北市文山區萬美里萬美街一段61-90號,ylw_stars
17,住宅竊盜,1040109,10~12,台北市內湖區港華里港華街1-30號,ylw_stars
18,住宅竊盜,1040109,13~15,台北市中山區樂群二路91-120號,ylw_stars
19,住宅竊盜,1040109,16~18,台北市松山區民權東路三段106巷1-30號,ylw_stars
20,住宅竊盜,1040110,04~06,台北市信義區福德街373巷91-120號,ylw_stars
21,住宅竊盜,1040111,07~09,台北市萬華區萬大路387巷1-30號,ylw_stars
22,住宅竊盜,1040112,07~09,台北市大安區龍雲里4鄰大安路二段132巷1-30號,ylw_stars
23,住宅竊盜,1040112,19~21,台北市松山區光復南路22巷31-60號,ylw_stars
24,住宅竊盜,1040112,19~21,台北市松山區健康路325巷18弄1-30號,ylw_stars
25,住宅竊盜,1040113,10~12,台北市萬華區青年路31-60號,ylw_stars
