Location,Detail,reason,precaution,icon
台灣台北市大同區重慶北路2段與保安街交叉路口周邊,,該地段曾發生2件性騷擾案件，恐有再發生婦幼被害案件之虞。,"1.針對該路段設有線上巡邏箱計有4處，由派出所之警力實施複式巡邏。
2.另於該路段規劃1處路檢點，每日計有1個時段於該處實施路檢勤務。",pink_stars
台灣台北市萬華區西寧南路62-70號,,該路段平時人潮眾多，出入複雜，經評估為對婦幼案全堪虞之地點。,"1.針對該路段設有線上巡邏箱計有3處，由派出所之警力實施複式巡邏。
2.另於該路段規劃2處路檢點，每日計有2個時段於該處實施路檢勤務。",pink_stars
台灣台北市萬華區成都路60-70號,,該路段平時人潮眾多，出入複雜，經評估為對婦幼案全堪虞之地點。,"1.針對該路段設有線上巡邏箱計有4處，由派出所之警力實施複式巡邏。
2.另於該路段規劃2處路檢點，每日計有2個時段於該處實施路檢勤務。",pink_stars
台灣台北市中山區民生西路3巷,,該路段夜間較為陰暗且行人稀少，於今年8月曾發生1件性騷擾案，經評估為對婦幼安全堪虞之地點。,"1.針對該路段設有線上巡邏箱計有5處(含查巡合一巡邏箱)，由派出所之警力實施複式巡邏。
2.另於該路段規劃1處路檢點，每日計有2個時段於該處實施路檢勤務。另協請集英里所屬文昌宮巡守隊加強該區域巡邏。",pink_stars
台灣台北市大安區光復南路與信義路口,,平時人潮眾多，於104年7月曾發生1件性侵害案件，經評估為對婦幼安全堪虞之地點。。,"1.針對該路段週遭設有線上巡邏箱計有6處，由派出所之警力實施複式巡邏。
2.另於該路段週遭規劃2處路檢點，每日計有5個時段於該處週遭實施路檢勤務。",pink_stars
台灣台北市中正一區中華路1段衡陽街至秀山街口路段,,近半年(5月及6月)連續發生性騷擾案件共2件。,"1.針對該路段設有線上巡邏箱計有1處，由派出所之警力實施複式巡邏。
2.另於該路段規劃1處路檢點，每日計有3個時段於該處實施路檢勤務。",pink_stars
台灣台北市中正一區台北火車站,,近半年(7月及8月)連續發生性騷擾案件共2件。,"1.針對該路段設有線上巡邏箱計有2處，由派出所之警力實施複式巡邏。
2.另於該路段規劃2處路檢點，每日計有4個時段於該處實施路檢勤務。",pink_stars
台灣台北市中正二區臺北捷運公館1號出口,,鄰近捷運站、人潮眾多，於102年6月曾發生1件性騷擾案件，經評估為對婦幼安全堪虞之地點。。,"1.針對該路段設有線上巡邏箱計有1處，由派出所之警力實施複式巡邏。
2.另於該路段規劃2處路檢點，每日計有3個時段於該處實施路檢勤務。",pink_stars
台灣台北市中正二區客家文化園區,,於103年9月曾發生1件性侵害案件，經評估為對婦幼安全堪虞之地點。,"1.針對該路段設有線上巡邏箱計有2處，由派出所之警力實施複式巡邏。
2.另於該路段規劃2處路檢點，每日計有3個時段於該處實施路檢勤務。",pink_stars
台灣台北市信義區莊敬路391巷至松仁路202巷周邊,,於104年5月曾發生1件性騷擾案，經評估為對婦幼安全堪虞之地點。,"1.針對該路段設有線上巡邏箱計有4處，由派出所之警力實施複式巡邏。
2.另於該路段規劃2處路檢點，每日計有4個時段於該處實施路檢勤務。",pink_stars
台灣台北市北投區和信醫院行人地下道,中央北路4段370-390號對面,於104年5月曾發生1件性騷擾案，經評估為對婦幼安全堪虞之地點。,"1.針對該處設有線上巡邏箱1處，由派出所之警力實施全天候巡邏。
2.另於該處巡邏人員巡簽巡邏箱時，加強守望。",pink_stars
台灣台北市北投區中央北路二段與文化三路周邊,,於104年5月曾發生1件幼童被害案，經評估為對婦幼安全堪虞之地點。,"1.該處設有線上巡邏箱1處，由派出所之警力實施複式巡邏。
2.另該路段規劃護童勤務，有2個時段於該處實施護童勤務。",pink_stars
